,Easting,Northing,Salazones amphora_ct,Salazones amphora_wt
450,533375.05,4386057.97,0.0,0.0
451,533367.38,4386064.93,0.0,0.0
452,533357.67,4386068.0,0.0,0.0
453,533348.97,4386074.51,0.0,0.0
454,533340.03,4386079.58,0.0,0.0
455,533332.09,4386087.64,0.0,0.0
456,533323.66,4386093.49,0.0,0.0
457,533317.45,4386100.34,0.0,0.0
458,533310.04,4386105.97,0.0,0.0
459,533300.93,4386110.04,0.0,0.0
460,533392.89,4385981.25,0.0,0.0
461,533376.36,4385993.83,0.0,0.0
462,533356.4,4386004.95,0.0,0.0
463,533352.62,4386183.51,0.0,0.0
464,533360.13,4386174.11,0.0,0.0
465,533366.84,4386170.15,0.0,0.0
466,533375.45,4386163.86,0.0,0.0
467,533382.93,4386160.56,0.0,0.0
468,533392.48,4386155.16,0.0,0.0
469,533399.04,4386148.2,0.0,0.0
470,533406.09,4386144.57,0.0,0.0
471,533412.81,4386139.49,0.0,0.0
472,533421.76,4386133.09,0.0,0.0
473,533430.1,4386129.13,0.0,0.0
474,533436.9,4386125.06,0.0,0.0
475,533445.16,4386119.88,0.0,0.0
476,533454.53,4386116.81,0.0,0.0
477,533462.54,4386110.52,0.0,0.0
478,533472.95,4386104.35,0.0,0.0
479,533478.54,4386101.04,0.0,0.0
480,533487.06,4386095.97,0.0,0.0
481,533497.12,4386091.58,0.0,0.0
482,533505.56,4386086.73,0.0,0.0
483,533513.56,4386080.88,0.0,0.0
484,533522.77,4386075.04,0.0,0.0
485,533532.32,4386069.76,0.0,0.0
486,533470.24,4386017.1,0.0,0.0
487,533461.13,4386020.83,0.0,0.0
488,533450.98,4386024.79,0.0,0.0
489,533441.95,4386028.52,0.0,0.0
490,533434.73,4386032.71,0.0,0.0
491,533424.41,4386036.32,0.0,0.0
492,533415.47,4386039.5,0.0,0.0
493,533404.55,4386043.67,0.0,0.0
494,533395.61,4386048.3,0.0,0.0
495,533387.59,4386055.92,0.0,0.0
496,533380.86,4386064.55,0.0,0.0
497,533371.4,4386068.5,0.0,0.0
498,533362.53,4386075.35,0.0,0.0
499,533353.15,4386081.52,0.0,0.0
500,533345.14,4386087.48,0.0,0.0
501,533336.27,4386094.21,0.0,0.0
502,533327.15,4386100.72,0.0,0.0
503,533317.42,4386106.34,0.0,0.0
504,533308.56,4386111.18,0.0,0.0
505,533412.17,4385968.35,0.0,0.0
506,533403.05,4385974.3,0.0,0.0
507,533384.98,4385985.32,0.0,0.0
508,533336.37,4386011.53,0.0,0.0
509,533347.18,4386170.5,0.0,0.0
510,533353.65,4386164.87,0.0,0.0
511,533358.72,4386161.68,0.0,0.0
512,533368.44,4386158.72,0.0,0.0
513,533374.29,4386155.19,0.0,0.0
514,533380.15,4386148.78,0.0,0.0
515,533386.7,4386143.71,0.0,0.0
516,533395.9,4386139.08,0.0,0.0
517,533401.92,4386135.89,0.0,0.0
518,533407.68,4386134.47,0.0,0.0
519,533411.04,4386131.16,0.0,0.0
520,533418.85,4386129.86,0.0,0.0
521,533429.02,4386121.8,0.0,0.0
522,533437.54,4386115.4,0.0,0.0
523,533442.96,4386112.98,0.0,0.0
524,533448.99,4386108.9,0.0,0.0
525,533455.01,4386106.04,0.0,0.0
526,533463.01,4386101.09,0.0,0.0
527,533468.68,4386098.67,0.0,0.0
528,533481.07,4386091.95,0.0,0.0
529,533486.84,4386088.65,0.0,0.0
530,533495.27,4386084.91,0.0,0.0
531,533501.38,4386079.39,0.0,0.0
532,533503.2,4386076.73,0.0,0.0
533,533512.74,4386073.89,0.0,0.0
534,533526.5,4386066.62,0.0,0.0
535,533479.58,4386021.47,0.0,0.0
536,533467.97,4386025.64,0.0,0.0
537,533459.37,4386029.93,0.0,0.0
538,533451.82,4386029.56,0.0,0.0
539,533446.65,4386034.98,0.0,0.0
540,533439.16,4386039.38,0.0,0.0
541,533428.94,4386041.12,0.0,0.0
542,533420.84,4386047.96,0.0,0.0
543,533410.52,4386052.36,0.0,0.0
544,533406.22,4386054.89,0.0,0.0
545,533395.82,4386058.62,0.0,0.0
546,533390.56,4386063.92,0.0,0.0
547,533382.22,4386068.11,0.0,0.0
548,533373.7,4386073.73,0.0,0.0
549,533368.44,4386078.48,0.0,0.0
550,533360.7,4386082.0,0.0,0.0
551,533350.97,4386089.95,0.0,0.0
552,533342.19,4386094.9,0.0,0.0
553,533335.57,4386098.31,0.0,0.0
554,533328.51,4386102.94,0.0,0.0
555,533320.5,4386108.24,0.0,0.0
556,533313.71,4386112.43,0.0,0.0
557,533394.99,4385952.51,0.0,0.0
558,533377.1,4385961.09,0.0,0.0
559,533360.91,4385973.68,0.0,0.0
560,533342.08,4385982.36,0.0,0.0
561,533329.26,4386147.34,0.0,0.0
562,533341.21,4386143.18,0.0,0.0
563,533348.69,4386139.1,0.0,0.0
564,533357.56,4386134.15,0.0,0.0
565,533367.19,4386128.08,0.0,0.0
566,533376.32,4386122.35,0.0,0.0
567,533381.92,4386116.49,0.0,0.0
568,533388.54,4386113.53,0.0,0.0
569,533396.47,4386106.79,0.0,0.0
570,533409.38,4386099.19,0.0,0.0
571,533419.87,4386094.79,0.0,0.0
572,533428.37,4386092.17,0.0,0.0
573,533439.9,4386087.22,0.0,0.0
574,533448.34,4386080.6,0.0,0.0
575,533460.46,4386074.77,0.0,0.0
576,533471.21,4386069.82,0.0,0.0
577,533481.27,4386066.65,0.0,0.0
578,533491.76,4386061.37,0.0,0.0
579,533505.01,4386055.1,0.0,0.0
580,533444.59,4385995.24,0.0,0.0
581,533437.52,4386001.98,0.0,0.0
582,533423.16,4386007.91,0.0,0.0
583,533413.88,4386011.2,0.0,0.0
584,533401.22,4386019.46,0.0,0.0
585,533387.46,4386025.62,0.0,0.0
